"","SRR6145415","SRR6145416","SRR6145417","SRR6145418","SRR6145419","SRR6145420","SRR6145421","SRR6145422","SRR6145423","SRR6145424","SRR6145425","SRR6145426","SRR6145427","SRR6145428","SRR6145429","SRR6145430","SRR6145431","SRR6145432","SRR6145433","SRR6145434","SRR6145435","SRR6145436","SRR6145437","SRR6145438","SRR6145439","SRR6145440","SRR6145441","SRR6145442","SRR6145443","SRR6145444"
"ENSG00000000003.16",145.434,147.524,88.793,151.645,115.601,80.966,69.039,127.45,81.242,85.918,114.859,153.926,122.3,110.995,123.854,122.901,143.236,125.842,85.935,120.293,157.105,158.375,113.162,98.972,136.761,83.463,99.235,62.288,96.046,98.075
"ENSG00000000005.6",2,0,0,0,0,0,0,2,1,1,1,0,1,2,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"ENSG00000000419.14",328.748,272.601,309.723,389.599,375.463,337.725,309.197,357.033,340.945,607.889,324.362,354.708,297.029,336.115,324.383,369.107,316.161,283.117,372.189,295.201,418.843,336.539,286.899,381.576,338.483,228.815,314.928,293.153,404.383,346.453
"ENSG00000000457.14",242.176,206.392,259.275,231.363,236.11,257.876,279.35,212.613,249.81,195.152,187.035,289.702,207.05,198.231,265.211,181.171,223.47,175.163,196.42,122.358,240.49,156.599,151.175,195.962,167.828,99.685,177.297,167.613,198.499,134.826
"ENSG00000000460.17",72.837,88.728,57.828,119.756,51.29,89.839,143.473,56.285,86.542,39.956,73.455,98.893,66.206,63.933,65.438,96.989,105.632,78.229,56.265,93.199,138.972,67.788,109.123,114.905,87.586,55.408,166.051,62.65,116.838,60.158
"ENSG00000000938.13",122,85,80.001,136,107.001,122,51.999,53,56,183,113.001,222,73.999,95,76.001,99,88,186,89,132,166,226,128.999,197.999,93,131,194,86.001,113,128
"ENSG00000000971.17",185.201,439.882,379.58,259.01,245.941,474.628,313.072,494.002,299.23,240.456,494.583,662.48,560.686,292.361,182.687,619.972,416.898,739.512,299.088,355.967,171.813,948.746,403.665,323.619,303.297,342.271,318.371,282.755,505.206,341.335
"ENSG00000001036.14",270,205.642,155.206,462.087,101,161.236,539.748,155.272,137.855,69.133,153.603,206.487,131.636,113.982,134.383,228.065,171.645,96.681,138.072,93.135,301.943,113.091,86.999,156.429,114.931,88.781,145.781,122.843,168.867,83.507
"ENSG00000001084.13",1227.53,1250.258,645.069,1867.703,547.748,948.272,2275.921,370.285,687.135,361.965,758.107,743.937,642.669,524.913,601.909,902.468,798.017,456.864,654.575,546.711,1385.291,663.626,497.826,997.658,656.992,352.48,649.538,582.601,611.345,503.76
"ENSG00000001167.15",1001.887,673.817,654.99,1275.704,574.664,675.751,883.005,412.178,640.576,441.725,760.974,732.044,632.387,511.734,566.561,717.8,876.288,511.457,659.167,487.675,991.752,807.249,896.192,926.903,957.58,542.676,930.23,694.465,658.418,628.9
