"gene_id","gene_symbol"
"ENSG00000005381.9","MPO"
"ENSG00000007908.16","SELE"
"ENSG00000103375.11","AQP8"
"ENSG00000104951.16","IL4I1"
"ENSG00000105374.10","NKG7"
"ENSG00000108786.11","HSD17B1"
"ENSG00000108813.12","DLX4"
"ENSG00000115112.8","TFCP2L1"
"ENSG00000116717.13","GADD45A"
"ENSG00000117009.12","KMO"
"ENSG00000117525.14","F3"
"ENSG00000120738.8","EGR1"
"ENSG00000120875.9","DUSP4"
"ENSG00000124839.13","RAB17"
"ENSG00000125740.15","FOSB"
"ENSG00000125931.11","CITED1"
"ENSG00000131400.9","NAPSA"
"ENSG00000133661.17","SFTPD"
"ENSG00000135094.11","SDS"
"ENSG00000135625.8","EGR4"
"ENSG00000137033.12","IL33"
"ENSG00000137251.16","TINAG"
"ENSG00000140798.17","ABCC12"
"ENSG00000144031.12","ANKRD53"
"ENSG00000144214.10","LYG1"
"ENSG00000145386.11","CCNA2"
"ENSG00000146250.7","PRSS35"
"ENSG00000152292.18","SH2D6"
"ENSG00000152467.10","ZSCAN1"
"ENSG00000163884.4","KLF15"
"ENSG00000164326.5","CARTPT"
"ENSG00000164778.4","EN2"
"ENSG00000167011.9","NAT16"
"ENSG00000167772.12","ANGPTL4"
"ENSG00000175793.12","SFN"
"ENSG00000175832.13","ETV4"
"ENSG00000175906.5","ARL4D"
"ENSG00000176076.7","KCNE5"
"ENSG00000177875.5","CCDC184"
"ENSG00000178860.9","MSC"
"ENSG00000180044.6","C3orf80"
"ENSG00000181577.16","C6orf223"
"ENSG00000181773.7","GPR3"
"ENSG00000183569.18","SERHL2"
"ENSG00000184515.11","BEX5"
"ENSG00000185955.5","C7orf61"
"ENSG00000186891.14","TNFRSF18"
"ENSG00000196415.10","PRTN3"
"ENSG00000196460.14","RFX8"
"ENSG00000197561.7","ELANE"
"ENSG00000221843.6","C2orf16"
"ENSG00000224712.13","NPIPA3"
"ENSG00000243480.8","AMY2A"
"ENSG00000270276.3","H4C15"
