"gene_id","gene_symbol"
"ENSG00000005059.16","MCUB"
"ENSG00000006128.12","TAC1"
"ENSG00000007237.19","GAS7"
"ENSG00000007255.10","TRAPPC6A"
"ENSG00000008226.20","DLEC1"
"ENSG00000014641.21","MDH1"
"ENSG00000015520.15","NPC1L1"
"ENSG00000015592.17","STMN4"
"ENSG00000021488.13","SLC7A9"
"ENSG00000043355.12","ZIC2"
"ENSG00000047617.18","ANO2"
"ENSG00000065618.21","COL17A1"
"ENSG00000068976.14","PYGM"
"ENSG00000073111.15","MCM2"
"ENSG00000074410.14","CA12"
"ENSG00000075624.17","ACTB"
"ENSG00000086570.13","FAT2"
"ENSG00000095932.7","SMIM24"
"ENSG00000100156.12","SLC16A8"
"ENSG00000101856.10","PGRMC1"
"ENSG00000101883.6","RHOXF1"
"ENSG00000102024.19","PLS3"
"ENSG00000102317.18","RBM3"
"ENSG00000102886.15","GDPD3"
"ENSG00000104549.12","SQLE"
"ENSG00000104765.16","BNIP3L"
"ENSG00000104833.12","TUBB4A"
"ENSG00000104883.8","PEX11G"
"ENSG00000105290.14","APLP1"
"ENSG00000105849.6","POLR1F"
"ENSG00000106236.4","NPTX2"
"ENSG00000106399.11","RPA3"
"ENSG00000109758.9","HGFAC"
"ENSG00000110955.9","ATP5F1B"
"ENSG00000111664.11","GNB3"
"ENSG00000112139.17","MDGA1"
"ENSG00000112245.14","PTP4A1"
"ENSG00000112539.15","C6orf118"
"ENSG00000112972.16","HMGCS1"
"ENSG00000114054.14","PCCB"
"ENSG00000115008.6","IL1A"
"ENSG00000115363.14","EVA1A"
"ENSG00000115365.13","LANCL1"
"ENSG00000116675.16","DNAJC6"
"ENSG00000117152.14","RGS4"
"ENSG00000117399.14","CDC20"
"ENSG00000120332.17","TNN"
"ENSG00000120437.9","ACAT2"
"ENSG00000122694.16","GLIPR2"
"ENSG00000123119.12","NECAB1"
"ENSG00000123689.6","G0S2"
"ENSG00000124678.20","TCP11"
"ENSG00000125787.11","GNRH2"
"ENSG00000125864.14","BFSP1"
"ENSG00000126861.5","OMG"
"ENSG00000127578.7","WFIKKN1"
"ENSG00000127955.17","GNAI1"
"ENSG00000128271.22","ADORA2A"
"ENSG00000129636.13","ITFG1"
"ENSG00000129646.16","QRICH2"
