"gene_id","gene_symbol"
"ENSG00000004799.8","PDK4"
"ENSG00000004864.14","SLC25A13"
"ENSG00000005513.11","SOX8"
"ENSG00000005893.17","LAMP2"
"ENSG00000006042.12","TMEM98"
"ENSG00000006831.10","ADIPOR2"
"ENSG00000010361.14","FUZ"
"ENSG00000013297.12","CLDN11"
"ENSG00000018699.13","TTC27"
"ENSG00000028277.22","POU2F2"
"ENSG00000030419.17","IKZF2"
"ENSG00000033170.17","FUT8"
"ENSG00000047346.13","FAM214A"
"ENSG00000050820.17","BCAR1"
"ENSG00000052795.13","FNIP2"
"ENSG00000064300.9","NGFR"
"ENSG00000065361.17","ERBB3"
"ENSG00000065809.14","FAM107B"
"ENSG00000068650.19","ATP11A"
"ENSG00000068878.15","PSME4"
"ENSG00000068903.21","SIRT2"
"ENSG00000070214.17","SLC44A1"
"ENSG00000071991.9","CDH19"
"ENSG00000072864.16","NDE1"
"ENSG00000076513.17","ANKRD13A"
"ENSG00000079999.14","KEAP1"
"ENSG00000080815.20","PSEN1"
"ENSG00000080819.9","CPOX"
"ENSG00000081479.15","LRP2"
"ENSG00000081913.14","PHLPP1"
"ENSG00000082438.18","COBLL1"
"ENSG00000086205.18","FOLH1"
"ENSG00000088387.22","DOCK9"
"ENSG00000089053.13","ANAPC5"
"ENSG00000092020.11","PPP2R3C"
"ENSG00000092871.17","RFFL"
"ENSG00000097007.20","ABL1"
"ENSG00000099282.10","TSPAN15"
"ENSG00000100146.20","SOX10"
"ENSG00000100242.16","SUN2"
"ENSG00000100399.16","CHADL"
"ENSG00000100596.8","SPTLC2"
"ENSG00000100979.15","PLTP"
"ENSG00000101265.16","RASSF2"
"ENSG00000101412.13","E2F1"
"ENSG00000102760.13","RGCC"
"ENSG00000103540.17","CCP110"
"ENSG00000104267.10","CA2"
"ENSG00000105135.16","ILVBL"
"ENSG00000106069.26","CHN2"
"ENSG00000107331.18","ABCA2"
"ENSG00000107562.18","CXCL12"
"ENSG00000107731.12","UNC5B"
"ENSG00000108239.9","TBC1D12"
"ENSG00000109089.7","CDR2L"
"ENSG00000109466.14","KLHL2"
"ENSG00000109610.6","SOD3"
"ENSG00000110047.18","EHD1"
"ENSG00000110080.20","ST3GAL4"
"ENSG00000110871.15","COQ5"
"ENSG00000111276.12","CDKN1B"
