"external_id","condition"
"SRR6145415","Young"
"SRR6145416","Young"
"SRR6145417","Young"
"SRR6145418","Young"
"SRR6145419","Young"
"SRR6145420","Young"
"SRR6145421","Young"
"SRR6145422","Young"
"SRR6145423","Old"
"SRR6145424","Old"
"SRR6145425","Old"
"SRR6145426","Old"
"SRR6145427","Old"
"SRR6145428","Old"
"SRR6145429","Old"
"SRR6145430","Old"
"SRR6145431","Old"
"SRR6145432","Old"
"SRR6145433","AD"
"SRR6145434","AD"
"SRR6145435","AD"
"SRR6145436","AD"
"SRR6145437","AD"
"SRR6145438","AD"
"SRR6145439","AD"
"SRR6145440","AD"
"SRR6145441","AD"
"SRR6145442","AD"
"SRR6145443","AD"
"SRR6145444","AD"
